Ground Truth True	Ground Truth False	TP	TN	FP	FN	Precision	Recall	Specificity	F1	MCC	Tool	length_bin	N
1933	13099	672	13029	70	1261	0.9057	0.3476	0.9947	0.5024299065420561	0.5289646565504462	eukrep	[1500–5000)	15032
1933	13099	1848	12988	111	85	0.9433	0.956	0.9915	0.9496402877697842	0.9421794934073643	tiara	[1500–5000)	15032
1933	13099	260	13097	2	1673	0.9924	0.1345	0.9998	0.23690205011389523	0.3436705616012442	kraken2	[1500–5000)	15032
1279	1595	1222	1569	26	57	0.9792	0.9554	0.9837	0.967154728927582	0.9416188641831484	eukrep	[5000–10000)	2874
1279	1595	1273	1592	3	6	0.9976	0.9953	0.9981	0.996477495107632	0.9936610560222754	tiara	[5000–10000)	2874
1279	1595	291	1595	0	988	1.0	0.2275	1.0	0.3707006369426752	0.37482570184511954	kraken2	[5000–10000)	2874
2110	1137	2101	1124	13	9	0.9939	0.9957	0.9886	0.9947916666666667	0.9851036764739665	eukrep	[10000–25000)	3247
2110	1137	2105	1137	0	5	1.0	0.9976	1.0	0.9988137603795968	0.9966255179959312	tiara	[10000–25000)	3247
2110	1137	826	1137	0	1284	1.0	0.3915	1.0	0.5626702997275205	0.4287771503530355	kraken2	[10000–25000)	3247
1372	548	1372	548	0	0	1.0	1.0	1.0	1.0	1.0	eukrep	[25000–50000)	1920
1372	548	1372	548	0	0	1.0	1.0	1.0	1.0	1.0	tiara	[25000–50000)	1920
1372	548	866	547	1	506	0.9988	0.6312	0.9982	0.7735596248325144	0.57114975594381	kraken2	[25000–50000)	1920
1014	473	1014	473	0	0	1.0	1.0	1.0	1.0	1.0	eukrep	≥50000	1487
1014	473	1014	473	0	0	1.0	1.0	1.0	1.0	1.0	tiara	≥50000	1487
1014	473	871	472	1	143	0.9989	0.859	0.9979	0.9236479321314952	0.8103333544002121	kraken2	≥50000	1487
