Ground Truth True	Ground Truth False	TP	TN	FP	FN	Precision	Recall	Specificity	F1	MCC	Tool	length_bin	N
1974	13087	742	13014	73	1232	0.9104	0.3759	0.9944	0.5320903549659375	0.5523724338942013	eukrep	[1500–5000)	15061
1974	13087	1896	12971	116	78	0.9423	0.9605	0.9911	0.951329653788259	0.943964697517572	tiara	[1500–5000)	15061
1974	13087	247	13084	3	1727	0.988	0.1251	0.9998	0.2221223021582734	0.3299019381702977	kraken2	[1500–5000)	15061
1307	1598	1254	1572	26	53	0.9797	0.9594	0.9837	0.9694626981059142	0.945123444024141	eukrep	[5000–10000)	2905
1307	1598	1305	1594	4	2	0.9969	0.9985	0.9975	0.9977064220183487	0.9958288647757635	tiara	[5000–10000)	2905
1307	1598	283	1598	0	1024	1.0	0.2165	1.0	0.3559748427672956	0.36326827176835463	kraken2	[5000–10000)	2905
2130	1113	2123	1104	9	7	0.9958	0.9967	0.9919	0.9962458939465041	0.9890525801663663	eukrep	[10000–25000)	3243
2130	1113	2125	1113	0	5	1.0	0.9977	1.0	0.9988249118683901	0.996589588815963	tiara	[10000–25000)	3243
2130	1113	841	1113	0	1289	1.0	0.3948	1.0	0.5661393470212049	0.42772957164502956	kraken2	[10000–25000)	3243
1422	534	1422	534	0	0	1.0	1.0	1.0	1.0	1.0	eukrep	[25000–50000)	1956
1422	534	1422	534	0	0	1.0	1.0	1.0	1.0	1.0	tiara	[25000–50000)	1956
1422	534	911	533	1	511	0.9989	0.6406	0.9981	0.7806341045415597	0.5704534413565645	kraken2	[25000–50000)	1956
973	483	973	483	0	0	1.0	1.0	1.0	1.0	1.0	eukrep	≥50000	1456
973	483	973	483	0	0	1.0	1.0	1.0	1.0	1.0	tiara	≥50000	1456
973	483	834	482	1	139	0.9988	0.8571	0.9979	0.9225663716814159	0.8140364817050462	kraken2	≥50000	1456
